unique_paragraph_id,participant_id,unique_trial_id,RC,MW,regime
history_of_film_3.0,s10014,s10014_history_of_film_3.0,1,1,train_train
history_of_film_3.0,s10052,s10052_history_of_film_3.0,1,0,train_train
history_of_film_3.0,s10059,s10059_history_of_film_3.0,0,0,train_train
history_of_film_3.0,s10073,s10073_history_of_film_3.0,0,0,train_train
history_of_film_3.0,s10094,s10094_history_of_film_3.0,1,0,train_train
history_of_film_3.0,s10100,s10100_history_of_film_3.0,1,1,train_train
history_of_film_3.0,s10103,s10103_history_of_film_3.0,1,0,train_train
history_of_film_3.0,s10110,s10110_history_of_film_3.0,0,1,train_train
history_of_film_3.0,s10117,s10117_history_of_film_3.0,1,1,train_train
history_of_film_3.0,s10125,s10125_history_of_film_3.0,0,1,train_train
history_of_film_3.0,s10139,s10139_history_of_film_3.0,1,0,train_train
history_of_film_3.0,s10145,s10145_history_of_film_3.0,1,1,train_train
history_of_film_3.0,s10148,s10148_history_of_film_3.0,1,0,train_train
history_of_film_3.0,s10153,s10153_history_of_film_3.0,0,1,train_train
history_of_film_3.0,s10156,s10156_history_of_film_3.0,0,0,train_train
history_of_film_3.0,s10173,s10173_history_of_film_3.0,0,0,train_train
history_of_film_3.0,s10178,s10178_history_of_film_3.0,0,1,train_train
history_of_film_3.0,s10185,s10185_history_of_film_3.0,1,0,train_train
history_of_film_3.0,s10192,s10192_history_of_film_3.0,1,0,train_train
history_of_film_3.0,s10195,s10195_history_of_film_3.0,1,1,train_train
history_of_film_3.0,s10197,s10197_history_of_film_3.0,1,0,train_train
history_of_film_3.0,s10202,s10202_history_of_film_3.0,0,0,train_train
history_of_film_7.0,s10014,s10014_history_of_film_7.0,1,1,train_train
history_of_film_7.0,s10052,s10052_history_of_film_7.0,1,0,train_train
history_of_film_7.0,s10059,s10059_history_of_film_7.0,0,1,train_train
history_of_film_7.0,s10073,s10073_history_of_film_7.0,0,1,train_train
history_of_film_7.0,s10094,s10094_history_of_film_7.0,1,0,train_train
history_of_film_7.0,s10100,s10100_history_of_film_7.0,0,1,train_train
history_of_film_7.0,s10103,s10103_history_of_film_7.0,0,0,train_train
history_of_film_7.0,s10110,s10110_history_of_film_7.0,1,1,train_train
history_of_film_7.0,s10117,s10117_history_of_film_7.0,0,1,train_train
history_of_film_7.0,s10125,s10125_history_of_film_7.0,1,1,train_train
history_of_film_7.0,s10139,s10139_history_of_film_7.0,1,0,train_train
