column,type,count,percent_null,min,quantile_10,mean,median,quantile_90,max,std,nunique,distribution
CURRENT_FIX_DURATION,numeric,490760,0.0,3.0,116.0,213.62856997310294,196.0,326.0,2660.0,99.31364266097395,1184,
CURRENT_FIX_INDEX,numeric,490760,0.0,1.0,24.0,139.24940500448284,125.0,272.0,665.0,95.51774175761524,665,
CURRENT_FIX_INTEREST_AREA_INDEX,numeric,490760,0.0,0.0,16.0,96.12732089004808,90.0,187.0,238.0,62.202619827254786,239,
CURRENT_FIX_PUPIL,numeric,490760,0.0,216.0,842.0,1321.7104124215502,1232.0,1916.0,5841.0,445.7425963252482,3601,
CURRENT_FIX_X,numeric,490760,0.0,-429.3,370.7,901.5276238894775,884.6500000000001,1468.8,2017.6,400.6367766493149,15072,
CURRENT_FIX_Y,numeric,490760,0.0,-522.8,71.3,459.034173323009,426.3,902.1,1749.6,304.80786193913184,12557,
IA_DWELL_TIME,numeric,490760,0.0,5.0,181.0,585.4079896487082,464.0,1112.0,8567.0,468.1030159562824,2667,
IA_FIRST_FIXATION_DURATION,numeric,490760,0.0,3.0,119.0,214.5008965685875,197.0,325.0,2660.0,97.67871517225937,1030,
IA_FIXATION_COUNT,numeric,490760,0.0,1.0,1.0,2.7498451381530686,2.0,5.0,21.0,1.8807676935115065,21,
IA_HEIGHT,numeric,490760,0.0,3.0,21.0,25.42600048903741,25.0,31.0,39.0,3.606025297645881,15,"{24: 25.3, 25: 23.5, 31: 13.6, 30: 8.1, 21: 8.0, 29: 4.6, 23: 4.3, 17: 3.4, 27: 3.4, 18: 2.1, 28: 1.8, 22: 1.1, 26: 0.6, 39: 0.0, 3: 0.0}"
IA_LABEL,categorical,490668,0.0,,,,,,,,3627,
IA_LEFT,numeric,490760,0.0,0.0,69.0,806.0150542016464,792.0,1565.0,1872.0,543.0637242917949,528,
IA_REGRESSION_IN_COUNT,numeric,490760,0.0,0.0,0.0,0.5640496372972532,0.0,2.0,9.0,0.7921302687979683,9,"{0.0: 57.8, 1.0: 31.5, 2.0: 8.2, 3.0: 1.9, 4.0: 0.4, 5.0: 0.1, 6.0: 0.1, 7.0: 0.0, 9.0: 0.0}"
IA_REGRESSION_IN_COUNT_sum,numeric,490760,0.0,2.0,58.0,161.1704682533214,142.0,294.0,697.0,99.97166305381559,381,
IA_REGRESSION_OUT_FULL_COUNT,numeric,490760,0.0,0.0,0.0,0.5708391066916619,0.0,2.0,10.0,0.7917167159818158,11,"{0.0: 57.1, 1.0: 32.2, 2.0: 8.2, 3.0: 1.9, 4.0: 0.4, 5.0: 0.1, 6.0: 0.0, 8.0: 0.0, 7.0: 0.0, 10.0: 0.0, 9.0: 0.0}"
IA_SKIP,numeric,490760,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_TOP,numeric,490760,0.0,0.0,90.0,597.5740402640802,541.0,1174.0,1359.0,407.8633596995601,125,
IA_WIDTH,numeric,490760,0.0,10.0,61.0,134.65500652049883,128.0,219.0,415.0,65.83722466879102,221,
LengthCategory,categorical,490760,0.0,,,,,,,,4,"{2: 58.6, 1: 31.3, 3: 9.2, 0: 0.9}"
MW,numeric,490760,0.0,0.0,0.0,0.3079794604287228,0.0,1.0,1.0,0.46165847405348476,2,"{0: 69.2, 1: 30.8}"
NEXT_FIX_ANGLE,numeric,490760,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
NEXT_FIX_DISTANCE,numeric,490760,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
NEXT_FIX_INTEREST_AREA_INDEX,numeric,490760,0.0,0.0,16.0,96.56583462384873,91.0,187.0,238.0,62.231336549142284,239,
NEXT_SAC_AMPLITUDE,numeric,488748,0.4,0.0,1.0,4.2070617168765905,2.7,6.7,35.2,5.407102537077828,333,
NEXT_SAC_ANGLE,numeric,490760,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
NEXT_SAC_AVG_VELOCITY,numeric,488748,0.4,0.0,95.0,244.1412547979736,204.0,410.0,3270.0,196.0534976469098,2113,
NEXT_SAC_DURATION,numeric,488748,0.4,5.0,19.0,43.08832158903975,30.0,72.0,46689.0,159.44299784692853,1083,
NEXT_SAC_PEAK_VELOCITY,numeric,490760,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
PARAGRAPH_RT,numeric,490760,0.0,1.9360000000001492,32.12800000000061,56.97468979745702,56.77300000000014,80.23800000000028,146.7829999999999,19.230670842778785,2138,
PREVIOUS_FIX_ANGLE,numeric,490760,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
PREVIOUS_FIX_DISTANCE,numeric,490760,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
RC,numeric,490760,0.0,0.0,0.0,0.6424178824680088,1.0,1.0,1.0,0.47928865502823775,2,"{1: 64.2, 0: 35.8}"
TRIAL_IA_COUNT,numeric,490760,0.0,189.0,204.0,217.26015567690928,218.0,233.0,239.0,11.088342914651705,29,
adhd,categorical,490760,0.0,,,,,,,,6,"{'No': 54.3, 'no': 17.6, 'N': 13.2, 'Y': 7.7, 'Yes': 4.1, 'yes': 3.1}"
age,numeric,490760,0.0,18.0,18.0,22.546784579020294,20.0,29.0,64.0,8.139506940137178,13,"{19: 24.8, 18: 19.3, 20: 18.0, 22: 12.9, 21: 5.1, 27: 3.4, 28: 2.8, 64: 2.7, 36: 2.7, 26: 2.6, 29: 2.0, 34: 1.9, 30: 1.8}"
distance_to_head,numeric,490760,0.0,-49.0,-4.0,-0.3733291221778466,0.0,2.0,28.0,3.686406635725776,62,
entity_type,categorical,89149,81.8,,,,,,,,18,
fix_eye,categorical,490760,0.0,,,,,,,,2,"{'R': 57.5, 'L': 42.5}"
fix_fixed_word,categorical,490668,0.0,,,,,,,,3627,
fix_fixed_word_key,categorical,490760,0.0,,,,,,,,10838,
fix_tEnd,numeric,490760,0.0,1.1498906249998981,63.68900375000011,328.0548175345382,314.71918906250016,607.0561225000002,1035.9477781250002,205.08177801795705,456347,
fix_tStart,numeric,490760,0.0,1.050890624999738,63.453834687499715,327.84218896456514,314.521809375,606.8661109374999,1035.6057781249997,205.08133468054245,490726,
gender,categorical,490760,0.0,,,,,,,,3,"{'female': 66.2, 'male': 23.1, 'non-binary': 10.6}"
gpt2_surprisal,numeric,490760,0.0,0.0002444683632347733,0.9336422085762024,5.431154727935791,4.683229923248291,10.721744537353516,36.33995056152344,4.221795082092285,10836,
handedness,categorical,490760,0.0,,,,,,,,2,"{'right': 86.1, 'left': 13.9}"
head_direction,categorical,490760,0.0,,,,,,,,3,"{'RIGHT': 48.8, 'LEFT': 45.6, 'SELF': 5.6}"
head_word_index,numeric,490760,0.0,1.0,17.0,96.75399176787025,91.0,187.0,238.0,62.200605539493715,237,
is_content_word,numeric,490760,0.0,0.0,0.0,0.711349743255359,1.0,1.0,1.0,0.45313541510375105,2,"{np.int64(1): 71.1, np.int64(0): 28.9}"
is_correct,numeric,490760,0.0,0.0,0.0,0.6424178824680088,1.0,1.0,1.0,0.47928865502823775,2,"{1: 64.2, 0: 35.8}"
is_mw,categorical,36181,92.6,,,,,,,,1,{True: 100.0}
is_progressive,boolean,490760,0.0,,,,,,,,2,"{True: 54.3, False: 45.7}"
is_progressive_sum,numeric,490760,0.0,1.0,85.0,147.6161341592632,152.0,198.0,324.0,43.61618705494506,235,
is_reg,boolean,490760,0.0,,,,,,,,2,"{False: 78.9, True: 21.1}"
is_reg_sum,numeric,490760,0.0,1.0,26.0,58.41838780666721,57.0,92.0,165.0,26.30296337165072,134,
left_dependents_count,numeric,490760,0.0,0.0,0.0,0.5838515771456516,0.0,2.0,6.0,0.9016610096332224,7,"{0: 62.7, 1: 22.3, 2: 10.4, 3: 3.5, 4: 1.0, 5: 0.1, 6: 0.0}"
normalized_ID,numeric,490760,0.0,0.0,16.0,96.12732089004808,90.0,187.0,238.0,62.202619827254786,239,
normalized_incoming_regression_count,numeric,490760,0.0,0.0,0.0,0.004378922487570298,0.0,0.012307692307692308,0.5,0.008722517681224921,978,
normalized_outgoing_progressive_count,numeric,490760,0.0,0.0,0.00510204081632653,0.017554698783026165,0.012738853503184714,0.03305785123966942,3.0,0.026754476124157454,1277,
normalized_outgoing_regression_count,numeric,490760,0.0,0.0,0.0,0.01124271924773466,0.0,0.03076923076923077,1.0,0.020554970910580065,400,
page_dur,numeric,490760,0.0,1.9360000000001492,32.12800000000061,56.97468979745702,56.77300000000014,80.23800000000028,146.7829999999999,19.230670842778785,2138,
page_num,numeric,490760,0.0,0.0,0.0,4.341301247045399,4.0,8.0,9.0,2.871092907030604,10,"{np.int64(0): 11.4, np.int64(1): 10.7, np.int64(4): 10.6, np.int64(8): 10.3, np.int64(5): 10.1, np.int64(6): 9.9, np.int64(3): 9.9, np.int64(2): 9.6, np.int64(7): 9.1, np.int64(9): 8.5}"
participant_id,categorical,490760,0.0,,,,,,,,43,
ptb_pos,numeric,490760,0.0,0.0,0.0,1.1886665579916864,1.0,3.0,3.0,1.0319281760851775,4,"{1: 40.1, 0: 28.9, 3: 16.7, 2: 14.3}"
reading_disability,categorical,490760,0.0,,,,,,,,4,"{'No': 60.4, 'N': 19.0, 'no': 18.3, 'Yes dyslexia': 2.4}"
