column,type,count,percent_null,min,quantile_10,mean,median,quantile_90,max,std,nunique,distribution
AbsDistance2Head,numeric,465844,0.0,0.0,1.0,2.3053296811808246,1.0,5.0,49.0,2.8306966733446006,35,
IA_DWELL_TIME,numeric,465844,0.0,0.0,0.0,225.0546470492268,152.0,599.0,8567.0,308.0342477761447,2668,
IA_DWELL_TIME_%,numeric,465844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_FIRST_FIXATION_DURATION,numeric,258137,44.6,3.0,123.0,217.2041202927128,201.0,326.0,2660.0,95.70718570391622,1030,
IA_FIRST_FIXATION_VISITED_IA_COUNT,numeric,465844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_FIRST_FIX_PROGRESSIVE,numeric,465844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_FIRST_RUN_DWELL_TIME,numeric,465844,0.0,0.0,0.0,158.26180223422432,131.0,396.0,5230.0,200.67075850227985,1867,
IA_FIRST_RUN_FIXATION_COUNT,numeric,465844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_FIXATION_%,numeric,465844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_FIXATION_COUNT,numeric,465844,0.0,0.0,0.0,1.0534857162483577,1.0,3.0,21.0,1.3368224477657418,22,
IA_HEIGHT,numeric,465844,0.0,3.0,21.0,24.465546406093026,24.0,30.0,39.0,3.6951719294866456,15,"{24: 28.8, 25: 20.9, 21: 10.3, 31: 8.7, 23: 6.5, 17: 6.2, 30: 5.7, 29: 3.8, 18: 3.0, 27: 2.7, 28: 1.5, 22: 1.2, 26: 0.6, 3: 0.1, 39: 0.0}"
IA_ID,numeric,465844,0.0,0.0,21.0,108.17497917757876,108.0,195.0,238.0,63.06961173449506,239,
IA_LABEL,categorical,465758,0.0,,,,,,,,3627,
IA_LAST_FIXATION_DURATION,numeric,465844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_LAST_RUN_DWELL_TIME,numeric,465844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_LAST_RUN_FIXATION_COUNT,numeric,465844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_LEFT,numeric,465844,0.0,0.0,133.0,863.4555151509948,860.0,1608.0,1872.0,535.792955474553,529,
IA_REGRESSION_IN_COUNT,numeric,465844,0.0,0.0,0.0,0.22188758468500186,0.0,1.0,9.0,0.5086720342879905,9,"{0.0: 81.3, 1.0: 15.7, 2.0: 2.4, 3.0: 0.4, 4.0: 0.1, 5.0: 0.0, 6.0: 0.0, 7.0: 0.0, 9.0: 0.0}"
IA_REGRESSION_OUT_COUNT,numeric,465844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_REGRESSION_OUT_FULL_COUNT,numeric,465844,0.0,0.0,0.0,0.22188758468500186,0.0,1.0,10.0,0.509494288874912,11,"{0.0: 81.4, 1.0: 15.7, 2.0: 2.4, 3.0: 0.4, 4.0: 0.1, 5.0: 0.0, 6.0: 0.0, 8.0: 0.0, 7.0: 0.0, 9.0: 0.0, 10.0: 0.0}"
IA_REGRESSION_PATH_DURATION,numeric,465844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_RUN_COUNT,numeric,465844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_SELECTIVE_REGRESSION_PATH_DURATION,numeric,465844,0.0,0.0,0.0,371.4276195464576,157.0,727.0,104539.0,1642.8858518819573,7098,
IA_SKIP,numeric,465844,0.0,0.0,0.0,0.445872437983531,0.0,1.0,1.0,0.4970621061823344,2,"{0: 55.4, 1: 44.6}"
IA_TOP,numeric,465844,0.0,0.0,91.0,675.3187912691802,638.0,1262.0,1359.0,413.9733737344598,125,
IA_WIDTH,numeric,465844,0.0,10.0,39.0,107.86461132911447,88.0,196.0,415.0,61.48619140240381,221,
LengthCategory,categorical,465844,0.0,,,,,,,,4,"{1: 47.9, 2: 44.7, 3: 4.7, 0: 2.7}"
MW,numeric,465844,0.0,0.0,0.0,0.44878113703299816,0.0,1.0,1.0,0.49737024348709286,2,"{0: 55.1, 1: 44.9}"
PARAGRAPH_RT,numeric,465844,0.0,1.9360000000001492,17.132000000000062,47.61518284232491,49.6309999999994,73.02700000000004,146.7829999999999,21.356639189533873,2138,
RC,numeric,465844,0.0,0.0,0.0,0.6195378710469599,1.0,1.0,1.0,0.4855009818455362,2,"{1: 62.0, 0: 38.0}"
