column,type,count,percent_null,min,quantile_10,mean,median,quantile_90,max,std,nunique,distribution
IA_DWELL_TIME,numeric,465844,0.0,0.0,0.0,225.0546470492268,152.0,599.0,8567.0,308.0342477761447,2668,
IA_FIRST_FIXATION_DURATION,numeric,258137,44.6,3.0,123.0,217.2041202927128,201.0,326.0,2660.0,95.70718570391622,1030,
IA_FIRST_RUN_DWELL_TIME,numeric,465844,0.0,0.0,0.0,158.26180223422432,131.0,396.0,5230.0,200.67075850227985,1867,
IA_FIXATION_COUNT,numeric,465844,0.0,0.0,0.0,1.0534857162483577,1.0,3.0,21.0,1.3368224477657418,22,
IA_HEIGHT,numeric,465844,0.0,3.0,21.0,24.465546406093026,24.0,30.0,39.0,3.6951719294866456,15,"{24: 28.8, 25: 20.9, 21: 10.3, 31: 8.7, 23: 6.5, 17: 6.2, 30: 5.7, 29: 3.8, 18: 3.0, 27: 2.7, 28: 1.5, 22: 1.2, 26: 0.6, 3: 0.1, 39: 0.0}"
IA_LABEL,categorical,465758,0.0,,,,,,,,3627,
IA_LEFT,numeric,465844,0.0,0.0,133.0,863.4555151509948,860.0,1608.0,1872.0,535.792955474553,529,
IA_SELECTIVE_REGRESSION_PATH_DURATION,numeric,465844,0.0,0.0,0.0,371.4276195464576,157.0,727.0,104539.0,1642.8858518819573,7098,
IA_SKIP,numeric,465844,0.0,0.0,0.0,0.445872437983531,0.0,1.0,1.0,0.4970621061823344,2,"{0: 55.4, 1: 44.6}"
IA_TOP,numeric,465844,0.0,0.0,91.0,675.3187912691802,638.0,1262.0,1359.0,413.9733737344598,125,
IA_WIDTH,numeric,465844,0.0,10.0,39.0,107.86461132911447,88.0,196.0,415.0,61.48619140240381,221,
fix_fixed_word_key,categorical,465844,0.0,,,,,,,,10839,
is_mw,categorical,209062,55.1,,,,,,,,1,{True: 100.0}
page_dur,numeric,465844,0.0,1.9360000000001492,17.132000000000062,47.61518284232491,49.6309999999994,73.02700000000004,146.7829999999999,21.356639189533873,2138,
page_num,numeric,465844,0.0,0.0,0.0,4.461989421351354,4.0,8.0,9.0,2.8707043948917046,10,"{4.0: 10.5, 0.0: 10.4, 5.0: 10.2, 8.0: 10.0, 1.0: 10.0, 3.0: 9.9, 2.0: 9.9, 9.0: 9.7, 6.0: 9.7, 7.0: 9.7}"
participant_id,categorical,465844,0.0,,,,,,,,43,
run_num,numeric,465844,0.0,1.0,1.0,2.998819347249294,3.0,5.0,5.0,1.4153237423856637,5,"{1: 20.1, 4: 20.0, 2: 20.0, 5: 20.0, 3: 19.9}"
story_name,categorical,465844,0.0,,,,,,,,5,"{'serena_williams': 20.9, 'the_voynich_manuscript': 19.9, 'prisoners_dilemma': 19.8, 'history_of_film': 19.7, 'pluto': 19.6}"
word_index_in_text,numeric,465844,0.0,0.0,21.0,108.17497917757876,108.0,195.0,238.0,63.06961173449506,239,
